School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
LAKESIDE SCHOOL,2015-16,836,98.6,1.4,0.4,1.1,0,0,0.5,0.5,0.2,0.6,1.2,0.4,824,12,3,9,0,0,4,4,2,5,10,3,Y,SEATTLE PUBLIC SCHOOLS,14050 1ST AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-12,N,Y
LAKEVIEW ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SNOHOMISH SCHOOL DISTRICT,512 AVE H,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,5-9,N,Y
LAKEVIEW ELEMENTARY,2015-16,527,90.3,7,3,3.6,0.4,0.2,3.6,3.6,4.2,4.6,4.6,5.3,476,37,16,19,2,1,19,19,22,24,24,28,Y,LAKE WASHINGTON SCHOOL DISTRICT,10400 NE 68TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKEVIEW HOPE ACADEMY,2015-16,724,96,0.4,0.1,0.3,0,0,0.4,0.4,0.4,0.4,0.3,0.4,695,3,1,2,0,0,3,3,3,3,2,3,Y,CLOVER PARK SCHOOL DISTRICT,10501 47TH AVE SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKEVIEW TERRACE ELEMENTARY,2015-16,424,94.8,2.4,0.2,1.9,0.2,0,1.7,1.7,2.1,1.9,1.4,2.4,402,10,1,8,1,0,7,7,9,8,6,10,Y,MOSES LAKE SCHOOL DISTRICT,780 S. CLOVER DRIVE,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
RAINIER CHRISTIAN SCHOOLS-HIGHLANDS ELEMENTARY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,RENTON SCHOOL DISTRICT,850 UNION AVE NE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
LAKEWOOD ELEMENTARY SCHOOL,2015-16,364,91.2,7.4,3,4.7,0,0,3.3,3.3,4.9,3.6,3.8,6.6,332,27,11,17,0,0,12,12,18,13,14,24,Y,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 40,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LAKEWOOD HIGH SCHOOL,2015-16,709,95.8,3,0.4,2,0.6,0.1,2.3,1.6,1.6,1.4,1.7,0,679,21,3,14,4,1,16,11,11,10,12,0,Y,LAKEWOOD SCHOOL DISTRICT,PO BOX 10,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LAKEWOOD LUTHERAN SCHOOL,2015-16,25,92,8,0,8,0,0,8,8,8,8,8,8,23,2,0,2,0,0,2,2,2,2,2,2,Y,CLOVER PARK SCHOOL DISTRICT,10202 112TH ST SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
LAKEWOOD MIDDLE SCHOOL,2015-16,551,84.2,8,1.6,6.4,0.2,0.4,3.3,2.5,4.7,3.4,3.3,6,464,44,9,35,1,2,18,14,26,19,18,33,Y,LAKEWOOD SCHOOL DISTRICT,P.O. BOX 9,NORTH LAKEWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LAKOTA MIDDLE SCHOOL,2015-16,769,82.1,2.9,0.3,2.3,0.3,0,2,2,1.8,2.1,1.4,2.3,631,22,2,18,2,0,15,15,14,16,11,18,Y,FEDERAL WAY SCHOOL DISTRICT,1415 SW 314TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
LAMONT MIDDLE SCHOOL,2015-16,32,100,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,Y,LAMONT SCHOOL DISTRICT,602 MAIN STREET,LAMONT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,5-8,N,Y
LANGLEY MIDDLE SCHOOL,2015-16,302,82.5,12.6,1,10.9,0.7,0.3,7,6.3,6.6,7.3,8.3,7.9,249,38,3,33,2,1,21,19,20,22,25,24,Y,SOUTH WHIDBEY SCHOOL DISTRICT,723 CAMANO AVE,LANGLEY,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LARCHMONT ELEMENTARY SCHOOL,2015-16,392,95.2,1.5,0.8,0.8,0,0,1.3,1.3,1.3,1.3,1.3,1.3,373,6,3,3,0,0,5,5,5,5,5,5,Y,TACOMA SCHOOL DISTRICT,8601 E B ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LARSON HEIGHTS ELEMENTARY,2015-16,345,84.6,1.7,0,0.6,0.9,0.3,1.7,1.7,1.7,1.4,1.2,1.7,292,6,0,2,3,1,6,6,6,5,4,6,Y,MOSES LAKE SCHOOL DISTRICT,700 LINDBERG LANE,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
LAURELHURST ELEMENTARY SCHOOL,2015-16,454,80.6,5.1,2.2,3.1,0.9,0,3.1,3.1,4,3.3,4.2,4.6,366,23,10,14,4,0,14,14,18,15,19,21,Y,SEATTLE PUBLIC SCHOOLS,4530 46 AV NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAURIN MIDDLE SCHOOL,2015-16,631,76.1,10,0.8,8.7,0.6,0.5,7.3,7.1,7.1,6.7,6.5,7.9,480,63,5,55,4,3,46,45,45,42,41,50,Y,BATTLE GROUND SCHOOL DISTRICT,13601 NE 97TH AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
LAWTON ELEMENTARY SCHOOL,2015-16,425,86.4,4.7,2.8,2.4,0,0,2.1,2.1,2.4,2.1,2.8,4,367,20,12,10,0,0,9,9,10,9,12,17,Y,SEATTLE PUBLIC SCHOOLS,4000 27 AV W,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LEA HILL ELEMENTARY SCHOOL,2015-16,407,85.5,7.1,1,6.1,0.2,0,6.4,6.4,6.1,6.1,4.9,6.6,348,29,4,25,1,0,26,26,25,25,20,27,Y,AUBURN SCHOOL DISTRICT,30908 124TH AVE SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LEADERS IN LEARNING,2015-16,95,91.6,8.4,1.1,6.3,1.1,0,6.3,6.3,3.2,2.1,3.2,0,87,8,1,6,1,0,6,6,3,2,3,0,Y,MONROE SCHOOL DISTRICT,639 1/2 W MAIN ST.,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LEGACY HIGH SCHOOL,2015-16,200,57,1.5,0,1.5,0,0,1,1,1,1.5,1,0,114,3,0,3,0,0,2,2,2,3,2,0,Y,KENNEWICK SCHOOL DISTRICT,201 S. GARFIELD ST,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-12,N,Y
LEGACY HIGH SCHOOL,2015-16,232,50.4,3.4,0,2.6,0.9,0,2.6,0,2.6,0.9,2.2,0,117,8,0,6,2,0,6,0,6,2,5,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),2205 E 138TH AVENUE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
LEONARD M JENNINGS ELEMENTARY,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,COLFAX SCHOOL DISTRICT,1207 N. MORTON STREET,COLFAX,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
LEOTA JUNIOR HIGH,2015-16,821,94,4,0.4,3.8,0,0.1,2.8,2.8,2.6,2.4,2.8,1.6,772,33,3,31,0,1,23,23,21,20,23,13,Y,NORTHSHORE SCHOOL DISTRICT,19301 168 AV NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
LESCHI ELEMENTARY SCHOOL,2015-16,369,76.2,4.6,3.3,1.9,0,0,0.5,0.5,0.8,1.1,2.4,3,281,17,12,7,0,0,2,2,3,4,9,11,Y,SEATTLE PUBLIC SCHOOLS,135 32 AV,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LEWIS & CLARK ELEMENTARY SCHOOL,2015-16,598,97.8,1.2,0,1.2,0,0,0.8,0.8,0.8,0.8,0.8,1.2,585,7,0,7,0,0,5,5,5,5,5,7,Y,RICHLAND SCHOOL DISTRICT,800 DOWNING,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
LEWIS & CLARK HIGH SCHOOL,2015-16,1893,91.7,8.3,1.3,6.6,0.3,0.3,4.4,4.4,3.6,3.8,5,4.4,1736,157,25,124,5,6,83,83,69,72,94,83,Y,SPOKANE SCHOOL DISTRICT,521 W 4TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LEWIS & CLARK MIDDLE SCHOOL,2015-16,840,95.7,2.3,2.1,0.1,0,0,1.3,1.1,0.4,0.1,0.2,0.2,804,19,18,1,0,0,11,9,3,1,2,2,Y,YAKIMA SCHOOL DISTRICT,1114 W PIERCE ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,N,Y
LEWIS AND CLARK ELEMENTARY SCH,2015-16,463,97.8,1.5,0,1.5,0,0,1.1,1.1,0.9,0.9,1.3,0.6,453,7,0,7,0,0,5,5,4,4,6,3,Y,WENATCHEE SCHOOL DISTRICT,1130 PRINCETON,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
LEWIS AND CLARK HIGH SCHOOL,2015-16,78,92.3,5.1,0,5.1,0,0,3.8,3.8,5.1,2.6,1.3,0,72,4,0,4,0,0,3,3,4,2,1,0,Y,VANCOUVER SCHOOL DISTRICT,2901 GENERAL ANDERSON AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
LEWIS COUNTY ADVENTIST SCHOOL,2015-16,68,79.4,10.3,5.9,4.4,0,0,2.9,2.9,2.9,2.9,2.9,7.4,54,7,4,3,0,0,2,2,2,2,2,5,Y,CHEHALIS SCHOOL DISTRICT,2104 SCHEUBER RD S,CHEHALIS,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-10,Y,Y
LEWIS RIVER ACADEMY,2015-16,54,66.7,22.2,0,18.5,3.7,0,20.4,20.4,11.1,11.1,13,9.3,36,12,0,10,2,0,11,11,6,6,7,5,Y,WOODLAND SCHOOL DISTRICT,800 THIRD STREET,WOODLAND,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
LIBBY CENTER,2015-16,301,89,10.6,2.3,8,0.7,0,6.3,6.3,5.3,5.3,6,8,268,32,7,24,2,0,19,19,16,16,18,24,Y,SPOKANE SCHOOL DISTRICT,2900 E 1ST AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-8,N,Y
LIBERTY BELL JR SR HIGH,2015-16,260,75,17.3,0,17.3,0.4,0,8.1,6.5,8.8,10,14.6,3.1,195,45,0,45,1,0,21,17,23,26,38,8,Y,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-12,N,N
LIBERTY CHRISTIAN SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,COLLEGE PLACE SCHOOL DISTRICT,3172 PEPPERS BRIDGE RD,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
LIBERTY CHRISTIAN SCHOOL,2015-16,392,86.5,9.2,1,7.1,0.8,0.3,5.9,5.9,5.6,5.4,5.1,6.4,339,36,4,28,3,1,23,23,22,21,20,25,Y,RICHLAND SCHOOL DISTRICT,2200 WILLIAMS BLVD,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-12,Y,Y
LIBERTY ELEMENTARY,2015-16,519,92.7,3.9,1.3,1.9,0.4,0.2,2.3,2.1,1.9,3.1,1.9,2.7,481,20,7,10,2,1,12,11,10,16,10,14,Y,MARYSVILLE SCHOOL DISTRICT,1919 10TH ST,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
LIBERTY HIGH SCHOOL,2015-16,141,93.6,4.3,0.7,3.5,0,0,3.5,2.8,3.5,2.8,2.8,0,132,6,1,5,0,0,5,4,5,4,4,0,Y,LIBERTY SCHOOL DISTRICT,6404 E SPANGLE-WAVERLY RD,SPANGLE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LIBERTY JR HIGH AND ELEMENTARY,2015-16,308,88,7.5,2.3,4.9,0.3,0,3.2,3.6,3.9,3.2,2.9,5.5,271,23,7,15,1,0,10,11,12,10,9,17,Y,LIBERTY SCHOOL DISTRICT,29818 S NORTH PINE CREEK RD,SPANGLE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-8,Y,Y
LIBERTY LAKE ELEMENTARY,2015-16,660,91.7,7.3,0.8,6.4,0,0.2,3.6,2.9,4.1,4.4,5.2,5.6,605,48,5,42,0,1,24,19,27,29,34,37,Y,CENTRAL VALLEY SCHOOL DISTRICT,23606 E BOONE AVENUE,LIBERTY LAKE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,1-5,N,N
LIBERTY MIDDLE SCHOOL,2015-16,703,81.7,3.3,0.9,2.6,0,0,1.8,1.7,1.8,1.8,2,2.6,574,23,6,18,0,0,13,12,13,13,14,18,Y,BETHEL SCHOOL DISTRICT,7319 EUSTIS-HUNT RD E,SPANAWAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
LIBERTY MIDDLE SCHOOL,2015-16,769,89.2,10.5,1.3,8.5,0.3,0.8,6.1,5.3,5.7,5.1,5.3,7.3,686,81,10,65,2,6,47,41,44,39,41,56,Y,CAMAS SCHOOL DISTRICT,1612 NE GARFIELD ST,CAMAS,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
LIBERTY RIDGE ELEMENTARY,2015-16,429,92.5,6.1,1.6,4,0.5,0,4.2,4.2,4.2,4.4,3,4.2,397,26,7,17,2,0,18,18,18,19,13,18,Y,SUMNER SCHOOL DISTRICT,12202 209TH AVE CT E,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LIBERTY SR HIGH SCHOOL,2015-16,1289,96,3.6,0.5,3,0,0.2,3.6,2.9,2.8,2.2,3,0,1237,47,6,39,0,2,46,37,36,29,39,0,Y,ISSAQUAH SCHOOL DISTRICT,16655 SE 136TH ST,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LIDGERWOOD ELEMENTARY,2015-16,394,96.7,2.8,0.3,2,0.5,0,2.5,2.5,2.3,2.5,1.3,2.3,381,11,1,8,2,0,10,10,9,10,5,9,Y,SPOKANE SCHOOL DISTRICT,5510 N LIDGERWOOD,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
LIFE CHRISTIAN ACADEMY,2015-16,488,94.9,5.1,1.2,3.7,0,0.2,3.1,3.1,2.5,0.8,0.8,1.8,463,25,6,18,0,1,15,15,12,4,4,9,Y,TACOMA SCHOOL DISTRICT,1717 S UNION AVE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
LIGHT OF FAITH CHRISTIAN ACADEMY,2015-16,12,100,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,Y,EVERETT SCHOOL DISTRICT,18008 BOTHELL-EVERETT HWY #H,BOTHELL,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
LIGHTHOUSE CHRISTIAN SCHOOL,2015-16,373,96.5,3.5,0,3.5,0,0,3.5,3.2,3.5,3.5,3.5,3.5,360,13,0,13,0,0,13,12,13,13,13,13,Y,PENINSULA SCHOOL DISTRICT,3008 36TH ST NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
LINCOLN ACADEMY,2015-16,13,46.2,46.2,7.7,38.5,0,0,0,0,0,0,30.8,15.4,6,6,1,5,0,0,0,0,0,0,4,2,Y,STANWOOD-CAMANO SCHOOL DISTRICT,7600 272ND ST NW,STANWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LINCOLN ELEMENTARY,2015-16,242,95.9,1.2,0,1.2,0,0,1.2,1.2,1.2,0.8,1.2,2.1,232,3,0,3,0,0,3,3,3,2,3,5,Y,HOQUIAM SCHOOL DISTRICT,700 WOOD,HOQUIAM,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N
LINCOLN ELEMENTARY,2015-16,501,88.4,5.2,0.4,4.2,0.6,0,3,3.2,3.2,3.4,4,4.2,443,26,2,21,3,0,15,16,16,17,20,21,Y,ELLENSBURG SCHOOL DISTRICT,200 S. SAMPSON,ELLENSBURG,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
LINCOLN ELEMENTARY SCHOOL,2015-16,293,59.4,27.3,5.8,20.8,1.4,0,13,11.9,14,20.8,24.6,22.2,174,80,17,61,4,0,38,35,41,61,72,65,Y,OLYMPIA SCHOOL DISTRICT,213 21ST AVE SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
LINCOLN ELEMENTARY SCHOOL,2015-16,377,92.3,5.6,1.1,3.7,0.8,0.3,3.2,2.9,3.2,3.2,2.9,4.5,348,21,4,14,3,1,12,11,12,12,11,17,Y,MOUNT VERNON SCHOOL DISTRICT,1005 S 11TH ST,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LINCOLN ELEMENTARY SCHOOL,2015-16,403,84.4,5.2,0.5,4.7,0,0,3,3,3.7,3.5,3.7,5,340,21,2,19,0,0,12,12,15,14,15,20,Y,VANCOUVER SCHOOL DISTRICT,4200 DANIELS ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
LINCOLN ELEMENTARY SCHOOL,2015-16,420,98.1,0.2,0,0.2,0,0,0.2,0.2,0.2,0.2,0,0.2,412,1,0,1,0,0,1,1,1,1,0,1,Y,TOPPENISH SCHOOL DISTRICT,309 NORTH ALDER STREET,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
LINCOLN ELEMENTARY SCHOOL,2015-16,562,95.9,3.2,0.9,2.1,0.2,0,2.5,2.5,2.7,2.7,2.3,3.2,539,18,5,12,1,0,14,14,15,15,13,18,Y,KENNEWICK SCHOOL DISTRICT,4901 WEST 21ST AVENUE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
LINCOLN HEIGHTS ELEMENTARY,2015-16,505,90.3,9.5,1.4,7.7,0.8,0.2,7.3,7.3,7.3,7.3,6.7,7.9,456,48,7,39,4,1,37,37,37,37,34,40,Y,SPOKANE SCHOOL DISTRICT,3322 E 22ND AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
LINCOLN HIGH SCHOOL,2015-16,84,88.1,8.3,0,8.3,0,0,7.1,7.1,6,4.8,0,0,74,7,0,7,0,0,6,6,5,4,0,0,Y,PORT ANGELES SCHOOL DISTRICT,924 W 9TH ST,PORT ANGELES,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
LINCOLN HIGH SCHOOL,2015-16,191,95.8,3.7,1,2.1,0.5,0,2.6,2.6,2.1,1.6,2.6,0,183,7,2,4,1,0,5,5,4,3,5,0,Y,WALLA WALLA PUBLIC SCHOOLS,421 S. 4TH AVE,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
LINCOLN HIGH SCHOOL,2015-16,1427,94,1.5,0.1,0.9,0.4,0.1,1,1,1.1,1,1,1.1,1342,21,2,13,5,1,14,14,16,14,14,15,Y,TACOMA SCHOOL DISTRICT,701 S 37TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LINCOLN HILL HIGH SCHOOL,2015-16,138,87.7,8,0.7,7.2,0.7,0,7.2,5.8,5.1,5.1,4.3,0,121,11,1,10,1,0,10,8,7,7,6,0,Y,STANWOOD-CAMANO SCHOOL DISTRICT,7400 272ND ST NW,STANWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LINCOLN MIDDLE SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,CLARKSTON SCHOOL DISTRICT,1945 4TH AVE,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,7-8,N,N
LINCOLN MIDDLE SCHOOL,2015-16,621,89.4,3.2,0.6,2.6,0,0,1.3,1.3,1.4,1,1.6,2.3,555,20,4,16,0,0,8,8,9,6,10,14,Y,PULLMAN SCHOOL DISTRICT,315 SE CRESTVIEW,PULLMAN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
LIND ELEMENTARY SCHOOL,2015-16,84,88.1,8.3,1.2,7.1,0,0,2.4,2.4,2.4,2.4,1.2,8.3,74,7,1,6,0,0,2,2,2,2,1,7,Y,LIND SCHOOL DISTRICT,PO BOX 340,LIND,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
LINDBERGH SENIOR HIGH SCHOOL,2015-16,1262,95.2,2.9,0.7,1.7,0.3,0.1,1.3,1.2,1.2,0.9,1.3,0,1201,36,9,22,4,1,16,15,15,11,16,0,Y,RENTON SCHOOL DISTRICT,16426 128TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LIND-RITZVILLE HIGH SCHOOL,2015-16,61,86.9,8.2,1.6,6.6,0,0,3.3,3.3,3.3,3.3,8.2,0,53,5,1,4,0,0,2,2,2,2,5,0,Y,LIND SCHOOL DISTRICT,PO BOX 340,LIND,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LIND-RITZVILLE HIGH SCHOOL,2015-16,71,70.4,11.3,0,11.3,0,0,2.8,2.8,1.4,2.8,2.8,11.3,50,8,0,8,0,0,2,2,1,2,2,8,Y,RITZVILLE SCHOOL DISTRICT,209 E WELLSANDT RD,RITZVILLE,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LIND-RITZVILLE MIDDLE SCHOOL,2015-16,48,64.6,12.5,0,12.5,0,0,6.3,6.3,6.3,4.2,0,10.4,31,6,0,6,0,0,3,3,3,2,0,5,Y,LIND SCHOOL DISTRICT,401 E 6TH AVE.,RITZVILLE,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
LINWOOD ELEMENTARY,2015-16,465,92.7,5.4,1.9,2.4,0.2,0.9,2.4,2.4,2.8,2.4,2.2,4.3,431,25,9,11,1,4,11,11,13,11,10,20,Y,SPOKANE SCHOOL DISTRICT,906 W WEILE AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
LISTER ELEMENTARY SCHOOL,2015-16,523,90.4,1.3,0.6,0.8,0,0,1.3,1.3,1.1,1.1,0.4,1.1,473,7,3,4,0,0,7,7,6,6,2,6,Y,TACOMA SCHOOL DISTRICT,2106 E 44TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LITTLE CEDARS ELEMENTARY SCHOOL,2015-16,711,79,5.1,1.1,3.7,0.3,0,2.5,2.7,3.4,3.8,3,4.5,562,36,8,26,2,0,18,19,24,27,21,32,Y,SNOHOMISH SCHOOL DISTRICT,1601 AVENUE D,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LITTLE MIRACLES SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,ISSAQUAH SCHOOL DISTRICT,5025 ISSAQUAH PINE LK RD SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-K,Y,N
LITTLE MOUNTAIN ELEMENTARY,2015-16,636,94.2,5.5,2,3.5,0,0,2.7,2.7,2.8,2.7,2.7,3.3,599,35,13,22,0,0,17,17,18,17,17,21,Y,MOUNT VERNON SCHOOL DISTRICT,1514 S LAVENTURE RD,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
LITTLE OAK MONTESSORI SCHOOL,2015-16,33,66.7,33.3,0,30.3,3,0,24.2,24.2,30.3,33.3,30.3,30.3,22,11,0,10,1,0,8,8,10,11,10,10,Y,WHITE SALMON VALLEY SCHOOL DISTRICT,1054 SE OAK ST,WHITE SALMON,KITTITAS,EDUCATIONAL SERVICE DISTRICT 112,P-3,Y,N
LITTLE OAK MONTESSORI SCHOOL--2ND LOCATION,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,WHITE SALMON VALLEY SCHOOL DISTRICT,871 NE ESTES,WHITE SALMON,KITTITAS,EDUCATIONAL SERVICE DISTRICT 112,1-6,N,Y
LITTLE STAR MONTESSORI SCHOOL,2015-16,8,75,25,0,25,0,0,12.5,12.5,12.5,12.5,25,25,6,2,0,2,0,0,1,1,1,1,2,2,Y,METHOW VALLEY SCHOOL DISTRICT,PO BOX 608,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-K,Y,N
LITTLEROCK ELEMENTARY SCHOOL,2015-16,342,86.3,8.2,1.5,6.7,0.3,0,3.8,3.5,4.1,4.7,5.3,6.4,295,28,5,23,1,0,13,12,14,16,18,22,Y,TUMWATER SCHOOL DISTRICT,BOX C,LITTLEROCK,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
LIVING MONTESSORI ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,2445 140TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
