School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
MEADOWS ELEMENTARY,2014-15,370,81.9,1.9,1.4,0.5,0,0,1.1,1.1,1.6,1.1,1.1,1.9,303,7,5,2,0,0,4,4,6,4,4,7,Y,836 DEERBRUSH DR SE,LACEY,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
MEDICAL LAKE ALTERNATIVE HIGH SCHOOL,2014-15,44,38.6,9.1,2.3,6.8,0,0,6.8,6.8,6.8,2.3,4.5,0,17,4,1,3,0,0,3,3,3,1,2,0,Y,PO BOX 128,MEDICAL LAKE,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
MEDICAL LAKE HIGH SCHOOL,2014-15,533,86.3,3.8,0.6,3.4,0,0,2.4,1.9,2.3,2.1,3,0,460,20,3,18,0,0,13,10,12,11,16,0,Y,PO BOX 128,MEDICAL LAKE,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
MEDICAL LAKE MIDDLE SCHOOL,2014-15,411,67.9,4.1,0.7,3.4,0.2,0,2.9,2.9,2.4,2.4,3.2,1,279,17,3,14,1,0,12,12,10,10,13,4,Y,PO BOX 128,MEDICAL LAKE,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43259,N,Y,,,
MEDINA ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,16600 NE 80TH ST,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-7,Y,Y,,,
MEDINA ELEMENTARY SCHOOL,2014-15,565,94.5,4.6,2.5,1.9,0.2,0,1.6,0,1.4,2.1,1.9,3.5,534,26,14,11,1,0,9,0,8,12,11,20,Y,8001 NE 8TH ST,MEDINA,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MEEKER ELEMENTARY,2014-15,429,93,5.6,1.4,4,0.2,0,3.3,0.5,4,3.7,4.2,4.2,399,24,6,17,1,0,14,2,17,16,18,18,Y,409 5TH ST SW,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MEEKER MIDDLE SCHOOL,2014-15,674,96.7,3.3,0.7,1.9,0.3,0.3,0.4,0.9,0.6,0.4,0.9,0.4,652,22,5,13,2,2,3,6,4,3,6,3,Y,4402 NASSAU AVE NE,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MEEKER MIDDLE SCHOOL,2014-15,681,95.9,1.8,0.3,1.2,0.1,0.1,1,0.9,0.6,0.3,0.7,0,653,12,2,8,1,1,7,6,4,2,5,0,Y,12600 SE 192ND ST,RENTON,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43289,N,N,,,
MELVIN G SYRE ELEMENTARY,2014-15,529,94,5.9,1.1,4.5,0.2,0,2.3,2.3,3.2,2.6,4.2,4.2,497,31,6,24,1,0,12,12,17,14,22,22,Y,19545 12TH AVENUE N.W.,SHORELINE,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MERCER ISLAND HIGH SCHOOL,2014-15,1419,94.8,3.8,0.6,3,0.1,0.2,2.6,2.1,2.7,2.1,2.3,0,1345,54,8,43,1,3,37,30,39,30,32,0,Y,9100 SE 42ND,MERCER ISLAND,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
MERCER MIDDLE SCHOOL,2014-15,1076,83.5,8.2,5,3.3,0,0,1.7,1.7,2,1.4,2.3,6.3,898,88,54,36,0,0,18,18,21,15,25,68,Y,1600 S COLUMBIAN WY,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MEREDITH HILL ELEMENTARY SCHOOL,2014-15,394,88.3,8.1,2,4.8,1.3,0,6.6,6.6,6.9,7.1,6.3,7.9,348,32,8,19,5,0,26,26,27,28,25,31,Y,5830 S 300TH ST,AUBURN,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
MERIDIAN ELEMENTARY SCHOOL,2014-15,640,92.2,1.4,0.3,0.9,0.2,0,0.9,0.9,1.1,0.9,0.5,1.3,590,9,2,6,1,0,6,6,7,6,3,8,Y,25621 140TH AVE SE,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MERIDIAN HIGH SCHOOL,2014-15,484,93.8,4.3,0.4,3.9,0.2,0,2.7,2.7,2.5,2.3,2.7,0,454,21,2,19,1,0,13,13,12,11,13,0,Y,194 W LAUREL ROAD,BELLINGHAM,MERIDIAN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MERIDIAN MIDDLE SCHOOL,2014-15,302,90.7,4.3,0.3,4.3,0,0,2.6,2.3,2.6,2.6,3.6,1.7,274,13,1,13,0,0,8,7,8,8,11,5,Y,861 TEN MILE ROAD,LYNDEN,MERIDIAN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
MERIDIAN MIDDLE SCHOOL,2014-15,679,95.4,1.9,0.1,1.5,0.3,0,1.6,1.3,1.2,1,1,0,648,13,1,10,2,0,11,9,8,7,7,0,Y,23480 120TH AVE SE,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43289,N,N,,,
MERIDIAN PARK ELEMENTARY SCHOOL,2014-15,549,91.4,7.7,1.5,6,0,0.2,2.7,2,3.3,3.5,4.9,5.6,502,42,8,33,0,1,15,11,18,19,27,31,Y,17077 MERIDIAN AVENUE N.,SHORELINE,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MERIDIAN SCHOOL,2014-15,183,89.6,10.4,0,10.4,0,0,1.6,1.6,4.9,3.8,7.7,8.2,164,19,0,19,0,0,3,3,9,7,14,15,Y,4649 SUNNYSIDE AVE N  SUITE 242,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,,,
MERIT SCHOOL,2014-15,10,90,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,Y,36001 1ST AV S,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43263,N,Y,,,
MERIWETHER ELEMENTARY SCHOOL,2014-15,285,91.6,1.1,0.4,0,0.4,0.4,0.7,0.7,0.7,1.1,1.1,1.1,261,3,1,0,1,1,2,2,2,3,3,3,Y,10285 COMPASS AVE,JBLM LEWIS MCCHORD,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,,,
MESA ELEMENTARY,2014-15,159,80.5,10.1,0,10.1,0,0,5,5,7.5,5.7,3.8,8.2,128,16,0,16,0,0,8,8,12,9,6,13,Y,600 W PEPIOT,MESA,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,,,
METHOW VALLEY COMMUNITY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,31 WES CHEWUCH ROAD,WINTHROP,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43108,N,Y,,,
METHOW VALLEY ELEMENTARY,2014-15,321,62.9,17.8,0.3,16.5,0.9,0,5,4.7,8.1,8.1,13.1,10.3,202,57,1,53,3,0,16,15,26,26,42,33,Y,18 TWIN LAKES RD.,WINTHROP,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,Y,Y,,,
MICHAEL ANDERSON ELEMENTARY,2014-15,457,85.1,2.6,1.1,1.5,0,0,1.1,1.1,0.9,0.7,1.1,1.8,389,12,5,7,0,0,5,5,4,3,5,8,Y,400 W. FAIRCHILD HIGHWAY,FAIRCHILD AFB,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,,,
MICHAEL T SIMMONS ELEMENTARY,2014-15,612,91.2,4.6,1,3.6,0,0.2,2.8,2.8,2.8,3.4,2.9,3.4,558,28,6,22,0,1,17,17,17,21,18,21,Y,1205 S 2ND AVENUE,TUMWATER,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
MID COLUMBIA CHRISTIAN SCHOOL,2014-15,9,55.6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Y,1212 PINE ST,OTHELLO,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,P-4,Y,N,,,
MID-COLUMBIA PARENT PARTNERSHIP,2014-15,283,85.5,14.5,0.4,13.1,1.1,0,10.2,5.3,6.7,9.5,8.1,8.1,242,41,1,37,3,0,29,15,19,27,23,23,Y,200 S FRUITLAND ST,KENNEWICK,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -12,Y,Y,,,
MIDDLE COLLEGE HIGH SCHOOL,2014-15,188,54.3,22.9,20.2,3.7,1.1,0,3.7,3.7,3.2,1.6,2.1,21.8,102,43,38,7,2,0,7,7,6,3,4,41,Y,1330 N 90 ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
MIDDLE SCHOOL OPTIONS,2014-15,38,68.4,28.9,0,26.3,2.6,0,26.3,26.3,21.1,26.3,28.9,5.3,26,11,0,10,1,0,10,10,8,10,11,2,Y,26331 BARBER CUT OFF ROAD NE,KINGSTON,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43259,N,Y,,,
MIDLAND ELEMENTARY,2014-15,521,99.2,0.8,0.4,0,0.4,0,0.4,0.4,0.6,0.4,0.4,0.6,517,4,2,0,2,0,2,2,3,2,2,3,Y,2300 105TH ST E,TACOMA,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MIDWAY ELEMENTARY,2014-15,555,93.2,6.8,0.4,5.4,0,1.1,3.6,3.6,3.1,3.4,3.6,5.8,517,38,2,30,0,6,20,20,17,19,20,32,Y,821 E MIDWAY RD,COLBERT,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
MIDWAY ELEMENTARY,2014-15,636,94,1.7,0,1.7,0,0,1.3,1.3,1.7,1.3,1.3,1.7,598,11,0,11,0,0,8,8,11,8,8,11,Y,22447 24TH AVE S,DES MOINES,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,,,
MIDWAY ELEMENTARY (MLC/DISCOVER),2014-15,273,94.5,3.7,1.1,2.6,0,0,1.8,1.8,1.8,2.2,1.8,3.7,258,10,3,7,0,0,5,5,5,6,5,10,Y,502 SOUTH C ST,MOSES LAKE,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,Y,Y,,,
MILL A ELEMENTARY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,1142 JESSUP ROAD,COOK,MILL A SCHOOL DISTRICT,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K -8,Y,Y,,,
MILL CREEK ELEMENTARY,2014-15,678,90.7,6.6,5.6,16.5,1.6,0,5.2,3.7,5.2,5,4.7,6.8,615,45,38,112,11,0,35,25,35,34,32,46,Y,3400 148TH ST. SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
MILL CREEK MIDDLE SCHOOL,2014-15,882,90.2,1.8,0.3,1.4,0.3,0,1,0.7,1,1.1,1.2,0,796,16,3,12,3,0,9,6,9,10,11,0,Y,620 CENTRAL AVE N,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43289,N,N,,,
MILL PLAIN ELEMENTARY SCHOOL,2014-15,495,77.2,6.5,0.8,5.1,0.6,0.2,5.7,5.7,6.1,5.7,5.3,6.3,382,32,4,25,3,1,28,28,30,28,26,31,Y,400 SE 164TH AVENUE,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
MILL POND ELEMENTARY SCHOOL,2014-15,501,72.5,5,1,3.4,0.6,0,2.6,3,3.4,2.8,2.6,4,363,25,5,17,3,0,13,15,17,14,13,20,Y,PO BOX 476,YELM,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
MILLENNIUM ELEMENTARY SCHOOL,2014-15,568,90.1,4.8,1.1,3.7,0,0.2,3.9,3.9,4,3.7,3,4.2,512,27,6,21,0,1,22,22,23,21,17,24,Y,11919 SE 270TH ST,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MILLER JUNIOR HIGH,2014-15,447,85.7,2.2,0.2,2,0,0,2.2,2.2,0.4,0.4,0.7,0.7,383,10,1,9,0,0,10,10,2,2,3,3,Y,100 E LINDSTROM,ABERDEEN,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43289,N,N,,,
MINNEHAHA ELEMENTARY SCHOOL,2014-15,558,90.3,9.3,0.2,7,2.2,0,8.2,8.2,8.2,7.3,6.5,9,504,52,1,39,12,0,46,46,46,41,36,50,Y,2800 NE 54TH ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
MINT VALLEY ELEMENTARY,2014-15,414,96.9,2.9,1.2,1.7,0,0,2.4,2.4,2.4,2.7,1.9,2.7,401,12,5,7,0,0,10,10,10,11,8,11,Y,2745 38TH AVENUE,LONGVIEW,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
MINTER CREEK ELEMENTARY,2014-15,388,93.6,6.4,0.5,5.4,0.5,0,4.1,4.1,4.6,4.1,4.6,5.9,363,25,2,21,2,0,16,16,18,16,18,23,Y,12617 118TH AVE NW,GIG HARBOR,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MIRROR LAKE ELEMENTARY SCHOOL,2014-15,460,94.3,2.6,0.7,2,0,0,1.7,1.7,1.7,1.7,1.5,2.4,434,12,3,9,0,0,8,8,8,8,7,11,Y,625 S 314TH ST,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
MISSION VIEW ELEMENTARY SCHOOL,2014-15,549,95.8,2.6,0.7,1.6,0.2,0,1.5,1.6,1.5,1.6,1.6,2,526,14,4,9,1,0,8,9,8,9,9,11,Y,60 TERMINAL AVENUE,WENATCHEE,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,,,
MMSC DAY SCHOOL,2014-15,48,47.9,10.4,4.2,6.3,0,0,10.4,10.4,8.3,8.3,10.4,6.3,23,5,2,3,0,0,5,5,4,4,5,3,Y,8511 15TH AVENUE NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,,,
MONARCH ACADEMY,2014-15,21,100,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,Y,1465 POPLAR STREET,CLARKSTON,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,Y,Y,,,
MONROE CHRISTIAN SCHOOL,2014-15,115,76.5,13.9,3.5,9.6,0.9,0,11.3,11.3,10.4,10.4,9.6,12.2,88,16,4,11,1,0,13,13,12,12,11,14,Y,1009 W MAIN ST,MONROE,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
MONROE ELEMENTARY,2014-15,539,92,2.2,0.6,1.3,0.4,0,2,2,1.7,1.7,1.1,2.2,496,12,3,7,2,0,11,11,9,9,6,12,Y,10901 27TH AVE. SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
MONROE HIGH SCHOOL,2014-15,1597,92.2,6.5,0.5,6,0.1,0.1,4.3,4.1,3.4,2.6,3.4,0,1473,104,8,96,2,1,68,66,54,41,55,0,Y,17001 TESTER RD.,MONROE,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MONROE MONTESSORI SCHOOL,2014-15,45,95.6,4.4,0,4.4,0,0,4.4,4.4,4.4,4.4,4.4,4.4,43,2,0,2,0,0,2,2,2,2,2,2,Y,733 VILLAGE WAY,MONROE,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K+,Y,N,,,
MONTE CRISTO ELEMENTARY,2014-15,336,95.8,3.6,0.6,2.7,0,0.3,2.1,2.1,2.1,2.1,2.7,2.4,322,12,2,9,0,1,7,7,7,7,9,8,Y,1201 100TH ST NE,GRANITE FALLS,GRANITE FALLS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
MONTESANO JR-SR HIGH,2014-15,608,91.4,3.8,0.2,3.6,0,0,2.8,2.6,3.5,2.6,2.5,0,556,23,1,22,0,0,17,16,21,16,15,0,Y,303 NORTH CHURCH,MONTESANO,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43293,N,N,,,
MONTESANO LEARNING ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,MONTESANO LEARNING ACADEMY,MONTESANO,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43294,N,N,,,
MONTESSORI AT SAMISH WOODS,2014-15,79,86.1,13.9,1.3,12.7,0,0,5.1,5.1,7.6,6.3,12.7,8.9,68,11,1,10,0,0,4,4,6,5,10,7,Y,1027 SAMISH WAY,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-6,Y,Y,,,
MONTESSORI CHILDREN'S HOUSE,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,5003 218TH AVE NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,,,
MONTESSORI COUNTRY SCHOOL - CHILDREN'S HOUSE,2014-15,17,76.5,23.5,17.6,23.5,0,0,23.5,23.5,23.5,23.5,23.5,23.5,13,4,3,4,0,0,4,4,4,4,4,4,Y,10994 ARROW POINT DR,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-1,Y,N,,,
MONTESSORI COUNTRY SCHOOL - ELEMENTARY CAMPUS,2014-15,33,84.8,15.2,6.1,9.1,0,0,9.1,12.1,12.1,12.1,15.2,12.1,28,5,2,3,0,0,3,4,4,4,5,4,Y,8225 HIGH SCHOOL ROAD,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N,,,
MONTESSORI SCHOOL OF YAKIMA,2014-15,49,93.9,6.1,0,6.1,0,0,4.1,4.1,4.1,4.1,4.1,4.1,46,3,0,3,0,0,2,2,2,2,2,2,Y,511 N 44TH AVE,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-5,Y,N,,,
MONTESSORI SCHOOLS OF SNOHOMISH CO.,2014-15,64,96.9,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,Y,1804 PUGET DR,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,,,
MONTICELLO MIDDLE SCHOOL,2014-15,464,94.2,2.2,0.2,1.5,0.2,0.2,1.7,1.7,1.5,1.3,1.3,1.3,437,10,1,7,1,1,8,8,7,6,6,6,Y,1225 28TH AVENUE,LONGVIEW,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,43259,N,Y,,,
MONTLAKE ELEMENTARY SCHOOL,2014-15,254,77.2,5.5,2,3.5,0,0,0.4,0.4,1.6,1.2,2.8,3.9,196,14,5,9,0,0,1,1,4,3,7,10,Y,2409 22 AV E,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MONUMENT ELEMENTARY,2014-15,571,90,0.2,0.2,0,0,0,0,0,0,0,0,0.2,514,1,1,0,0,0,0,0,0,0,0,1,Y,1400 13TH AVENUE SW,QUINCY,QUINCY SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43196,N,Y,,,
MOORLANDS ELEMENTARY,2014-15,662,90.9,7.9,3.2,4.7,0,0,3.2,3.2,3.9,4.1,4.8,5.9,602,52,21,31,0,0,21,21,26,27,32,39,Y,15115 84 AV NE,KENMORE,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MORAN PRAIRIE ELEMENTARY,2014-15,530,81.3,5.5,0.8,3.8,0.6,0.2,2.8,2.8,3.2,2.8,3.4,4.5,431,29,4,20,3,1,15,15,17,15,18,24,Y,4224 E 57TH AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
MORGAN MIDDLE SCHOOL,2014-15,682,91.6,2.9,0.1,2.8,0,0,1.8,1.6,1.3,1.5,1.9,0.7,625,20,1,19,0,0,12,11,9,10,13,5,Y,400 E FIRST,ELLENSBURG,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,43259,N,Y,,,
MORGEN OWINGS ELEMENTARY SCHOOL,2014-15,622,96,3.2,0.8,2.6,0.2,0.3,1.6,1.6,2.1,1.6,2.3,2.7,597,20,5,16,1,2,10,10,13,10,14,17,Y,407 E WOODIN AVE,CHELAN,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,,,
MORNINGSIDE ACADEMY,2014-15,86,97.7,2.3,1.2,1.2,0,0,2.3,2.3,2.3,2.3,2.3,2.3,84,2,1,1,0,0,2,2,2,2,2,2,Y,201 WESTLAKE AVE N,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43110,N,Y,,,
MORRIS FORD MIDDLE SCHOOL,2014-15,916,95.6,4.4,0.3,3.7,0.3,0,2.5,2,1.7,2,1.7,2.1,876,40,3,34,3,0,23,18,16,18,16,19,Y,1602 104TH STREET EAST,TACOMA,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MORRIS SCHOTT ELEMENTARY,2014-15,304,96.7,2,0,1,0,1,1,1,1,1.6,1.3,1.6,294,6,0,3,0,3,3,3,3,5,4,5,Y,P.O. BOX 907,MATTAWA,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
MORTON ELEMENTARY SCHOOL,2014-15,160,78.1,4.4,0.6,3.8,0,0,17.5,17.5,6.3,6.3,3.8,8.1,125,7,1,6,0,0,28,28,10,10,6,13,Y,PO BOX L,MORTON,MORTON SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
MORTON JUNIOR-SENIOR HIGH,2014-15,147,83.7,2.7,0,2.7,0,0,2.7,2.7,2.7,2.7,2.7,2.7,123,4,0,4,0,0,4,4,4,4,4,4,Y,PO BOX F,MORTON,MORTON SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,43293,N,N,,,
MOSAIC HOME EDUCATION PARTNERSHIP,2014-15,57,59.6,38.6,8.8,29.8,0,0,21.1,21.1,17.5,21.1,24.6,29.8,34,22,5,17,0,0,12,12,10,12,14,17,Y,9530 NE HIGH SCHOOL RD,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,,,
MOSES LAKE CHRISTIAN ACADEMY,2014-15,165,84.2,15.8,0,15.8,15.8,0,8.5,9.1,12.1,15.2,12.1,15.8,139,26,0,26,26,0,14,15,20,25,20,26,Y,1475 NELSON ROAD NE,MOSES LAKE,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,,,
